dataset name,link,Public Or Protected,Data Name,Owner,Sensor Platform,Operation Mode,Band,Polarization,Single Or Multilook,Data Domain,Cover Area,Scene,Image Acquisition Time,Azimuth Pixel Size,Slant Range Pixel Size,Ground Range Pixel Size,Cover Area Latlng,Data Time Original (UTC)
OpenSARShip010,http://opensar.sjtu.edu.cn/Data/DataShow/59,Public,OpenSARShip010,huanglanqing,Sentinel-1A/1B,TOPSAR,C,VV-VH,Multilook,amplitude,"CN,TianJin",maritime targets,2016/3/26 22:12:26,10m,--,10m,"38.5231590,116.3004678-40.4245796,119.5827031","Sat, 26 Mar 2016 22:12:26 GMT"
OpenSARShip009,http://opensar.sjtu.edu.cn/Data/DataShow/58,Public,OpenSARShip009,huanglanqing,Sentinel-1A/1B,TOPSAR,C,VV-VH,Multilook,amplitude,"CN,TianJin",maritime targets,2016/3/2 22:12:25,10m,--,10m,"38.5231933,116.3016591-40.4246215,119.5842600","Wed, 02 Mar 2016 22:12:25 GMT"
OpenSARShip008,http://opensar.sjtu.edu.cn/Data/DataShow/57,Public,OpenSARShip008,huanglanqing,Sentinel-1A/1B,TOPSAR,C,VV-VH,Multilook,amplitude,"CN,TianJin",maritime targets,2016/2/19 22:12:25,10m,--,10m,"38.5232315,116.3008496-40.4246063,119.5834188","Fri, 19 Feb 2016 22:12:25 GMT"
OpenSARShip007,http://opensar.sjtu.edu.cn/Data/DataShow/56,Public,OpenSARShip007,huanglanqing,Sentinel-1A/1B,TOPSAR,C,VV-VH,Multilook,amplitude,"CN,TianJin",maritime targets,2016/1/26 22:12:25,10m,--,10m,"38.5231590,116.3021921-40.4246520,119.5849238","Tue, 26 Jan 2016 22:12:25 GMT"
OpenSARShip006,http://opensar.sjtu.edu.cn/Data/DataShow/55,Public,OpenSARShip006,huanglanqing,Sentinel-1A/1B,TOPSAR,C,VV-VH,Multilook,amplitude,"CN,TianJin",maritime targets,2016/1/14 22:12:26,10m,--,10m,"38.5231399,116.3022303-40.4245796,119.5849604","Thu, 14 Jan 2016 22:12:26 GMT"
OpenSARShip005,http://opensar.sjtu.edu.cn/Data/DataShow/54,Public,OpenSARShip005,huanglanqing,Sentinel-1A/1B,TOPSAR,C,VV-VH,Multilook,amplitude,"CN,TianJin",maritime targets,2016/1/2 22:12:26,10m,--,10m,"38.5230751,116.3017966-40.4245376,119.5846408","Sat, 02 Jan 2016 22:12:26 GMT"
OpenSARShip004,http://opensar.sjtu.edu.cn/Data/DataShow/53,Public,OpenSARShip004,huanglanqing,Sentinel-1A/1B,TOPSAR,C,VV-VH,Multilook,amplitude,"CN,TianJin",maritime targets,2015/10/10 22:12:34,10m,--,10m,"38.1983222,116.2336425-40.0998687,119.5039434","Sat, 10 Oct 2015 22:12:34 GMT"
OpenSARShip003,http://opensar.sjtu.edu.cn/Data/DataShow/52,Public,OpenSARShip003,huanglanqing,Sentinel-1A/1B,TOPSAR,C,VV-VH,Multilook,amplitude,"CN,TianJin",maritime targets,2015/9/28 22:12:39,10m,--,10m,"37.8454666,116.1563423-39.7477226,119.4169165","Mon, 28 Sep 2015 22:12:39 GMT"
OpenSARShip002,http://opensar.sjtu.edu.cn/Data/DataShow/51,Public,OpenSARShip002,huanglanqing,Sentinel-1A/1B,TOPSAR,C,VV-VH,Multilook,amplitude,"CN,TianJin",maritime targets,2015/9/16 22:12:33,10m,--,10m,"38.1983489,116.5440221-40.0997695,119.5040521","Wed, 16 Sep 2015 22:12:33 GMT"
OpenSARShip001,http://opensar.sjtu.edu.cn/Data/DataShow/50,Public,OpenSARShip001,huanglanqing,Sentinel-1A/1B,TOPSAR,C,VV-VH,Multilook,amplitude,"CN,TianJin",maritime targets,2015/8/23 22:12:33,10m,--,10m,"38.1984024,119.5033256-40.0998725,119.5033256","Sun, 23 Aug 2015 22:12:33 GMT"
Test Add Data This Name For Second,http://opensar.sjtu.edu.cn/Data/DataShow/32,Public,Test Add Data This Name For Second,wcTest,TerraSAR-X/TanDEM-X,ScanSAR,Q,VH,Multilook,DEM,AC,"Land Environment and Hazard,building",2015/2/11 10:31:13,680,,test,"30.7004201,122.5076844-30.8004201,122.6076844","Wed, 11 Feb 2015 10:31:13 GMT"
